session_id,user_id,created_at,session_mode,session_use_rag,interaction_number,timestamp,query,routed_query,mode,use_rag,used_cache,latency_min,results_count,title_response,score_response,csat_score,nps_score,resolution_numeric,csat_category,nps_category,resolution_label,Total,Surveys,title,genres,keywords,overview,score,release_date,hallucination,valid_movie,rag_mode
40cf9414-6b0c-4b55-a80f-7e205d1fcf91,57 312 5489784,4/22/2026,RAG,True,1,19:16,Películas de comedia divertidas,Películas de comedia divertidas,RAG,True,False,16.80805,5,Pelé: Birth of a Legend,0.0548,2,3,1,Baja,detractor,no,1,1,Pelé: Birth of a Legend,['Drama'],"['biography', 'sports', 'football (soccer)', 'brazil', 'inspirational']","The life story of Brazilian football legend, Pele.",73,05/06/2016,0,1,RAG
cd7d7ecd-83f1-4ba5-8adb-9c26f84632dd,57 317 8517661,4/19/2026,RAG,True,1,2:39,recomienda me novelas como sin senos si hay paraíso,recomienda me novelas como sin senos si hay paraíso,RAG,True,False,2.481716667,5,Trilussa - Storia d'amore e di poesia,0.1342,5,7,1,Alta,passive,no,1,1,Trilussa - Storia d'amore e di poesia,['Drama'],[],"Biographical movie on the life of Trilussa, aka Carlo Alberto Camillo Mariano Salustri. Italian poet, writer and journalist known for this works in Romanesco dialect.",63,03/11/2013,0,1,RAG
cd7d7ecd-83f1-4ba5-8adb-9c26f84632dd,57 317 8517661,4/19/2026,RAG,True,2,2:45,una novela que sea de colombia,una novela que sea de colombia,RAG,True,False,1.96285,5,El Señor de los Cielos,0.2524,5,7,1,Alta,passive,no,1,1,El Señor de los Cielos,"['Crime', 'Drama', 'Soap']","['drug trafficking', 'drug cartel', 'drug lord', 'telenovela', '1990s']","Set in the 1990s, these are the life and times of Amado Carrillo Fuentes, a man who became the head of the Juárez cartel. Nicknamed “El Señor de los Cielos” (Lord of the Skies) because of the large fleet of airplanes he used to transport drugs, he was also known for washing more than $200 million through Colombia to finance his huge fleet. He is described as the most powerful drug trafficker of his time.",79,,0,1,RAG
cd7d7ecd-83f1-4ba5-8adb-9c26f84632dd,57 317 8517661,4/19/2026,RAG,True,3,2:51,y series de colombia como sin senos si hay paraíso o el man es german,y series de colombia como sin senos si hay paraíso o el man es german,RAG,True,False,1.6333,5,Juanpis González - The Series,0.3509,5,7,1,Alta,passive,no,1,1,Juanpis González - The Series,"['Comedy', 'Drama']","['beach', 'politics', 'vacation', 'love', 'irreverent']",A Colombian snob forays into the uncharted territories of dirty politics and true love while attempting to pass a test to inherit the family business.,75,,0,1,RAG
cd7d7ecd-83f1-4ba5-8adb-9c26f84632dd,57 317 8517661,4/19/2026,RAG,True,4,3:07,y una parecida a la reina del flow,y una parecida a la reina del flow,RAG,True,False,5.539666667,5,Flow,0.2484,5,7,1,Alta,passive,no,1,1,Flow,"['Animation', 'Adventure', 'Fantasy', 'Family']","['ocean', 'cat', 'boat', 'dystopia', 'dog', 'ruins', 'flood', 'lemur', 'kids', 'bird', '3d animation', 'no dialogue', 'teamwork', 'fantasy', 'capybara', 'adventure', 'admiring', 'complicated', 'barco', 'gato', 'labrador']","A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",81,02/20/2025,0,1,RAG
d838cc06-a4eb-43cb-87cf-aa38d98490d3,57 310 7677418,4/19/2026,DIRECT,False,1,2:34,lista de películas de acción mas vistas,lista de películas de acción mas vistas,DIRECT,False,False,1.254016667,5,Cabrujas en el país del disimulo,0.1434,3,7,2,Media,passive,partial,1,1,Cabrujas en el país del disimulo,[],[],"Beginning with his childhood and covering the many facets that characterized his intellectual universe, this documentary details the different aspects of the most important venezuelan writer of the 60s, 70s and 80s: José Ignacio Cabrujas.",0,01/13/2017,0,1,NO_RAG
d838cc06-a4eb-43cb-87cf-aa38d98490d3,57 310 7677418,4/19/2026,DIRECT,False,2,2:40,mejores películas de ciencia ficción,mejores películas de ciencia ficción,DIRECT,False,False,3.649,5,Cristóbal Balenciaga,0.102,3,7,2,Media,passive,partial,1,1,Cristóbal Balenciaga,['Drama'],[],"Cristóbal Balenciaga makes his debut as a designer in Paris, but the designs that set a trend in Spain don't work well in the sophisticated empire of fashion where Chanel, Dior, and Givenchy set the trends. Guided by his obsession with control in all aspects of his life, Balenciaga will define his style and end up becoming the greatest of all.",72,,0,1,NO_RAG
d838cc06-a4eb-43cb-87cf-aa38d98490d3,57 310 7677418,4/19/2026,DIRECT,False,3,2:59,si,si,DIRECT,False,False,7.190266667,5,Total DramaRama,0.2473,3,7,2,Media,passive,partial,1,1,Total DramaRama,"['Animation', 'Kids', 'Family', 'Comedy']",['fictional reality tv'],"Some of the original ""Total Drama"" characters enter into an alternate universe where they are aged down from teenagers to toddlers.",50,,0,1,NO_RAG
d838cc06-a4eb-43cb-87cf-aa38d98490d3,57 310 7677418,4/19/2026,DIRECT,False,4,3:02,drama,drama,DIRECT,False,False,1.17795,5,Yudh,0.3613,3,7,2,Media,passive,partial,1,1,Yudh,[],"['drama', 'action', 'crime']","Kidnapped at a very young age, two twin brothers are separated from there respective mother.",51,05/03/1985,0,1,NO_RAG
18bac071-cac8-47d5-9bec-1b746953859f,57 302 5203977,4/22/2026,RAG,True,1,22:18,recomienda algo parecido a harry potte,recomienda algo parecido a harry potte,RAG,True,False,18.96611667,5,Harry Potter: Wizards of Baking,0.3658,3,7,2,Media,passive,partial,1,1,Harry Potter: Wizards of Baking,['Reality'],"['competition', 'cake', 'food', 'cooking competition']",Pairs of professional bakers compete to create spellbinding edible showpieces on the actual sets where the Harry Potter films were made.,79,,0,1,RAG
